#OTU ID					10283.LS.12.28.2011	10283.LS.4.3.2012	10283.LS.8.7.2012	10283.LS.11.6.2012	10283.LS.1.26.2013	10283.LS.2.8.2013	10283.LS.2.25.2013	10283.LS.3.24.2013	10283.LS.4.7.2013	10283.LS.4.29.2013	10283.LS.7.14.2013	10283.LS.9.3.2013	10283.LS.9.24.2013	10283.LS.11.10.2013	10283.LS.12.14.2013	10283.LS.1.19.2014	10283.LS.2.17.2014	10283.LS.3.23.2014	10283.LS.5.4.2014	10283.LS.6.16.2014	10283.LS.7.27.2014	10283.LS.8.22.2014	10283.LS.8.25.2014	10283.LS.9.28.2014	10283.LS.11.16.2014	10283.LS.12.7.2014	10283.LS.12.17.2014	10283.LS.1.6.2015	10283.LS.1.14.2015	10283.LS.1.25.2015	10283.LS.2.8.2015	10283.LS.2.23.2015	10283.LS.3.8.2015	10283.LS.3.24.2015	10283.LS.4.4.2015	10283.LS.4.19.2015	10283.LS.5.3.2015	10283.LS.5.31.2015	10283.LS.6.14.2015
k__Bacteria	p__Lentisphaerae	c__[Lentisphaeria]	o__Victivallales	f__Victivallaceae	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	6.67E-05	0.000133333	0.000133333	0.000133333	0.000333333	0.000666667	0.0002	0.000266667	0	6.67E-05	0	0.000133333	6.67E-05	6.67E-05	0	6.67E-05	6.67E-05	0	0	6.67E-05	0	0	0	6.67E-05	0.000133333	6.67E-05	6.67E-05	0	6.67E-05
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__RF32	f__	0.002266667	0	6.67E-05	0.0002	0.005266667	0.001133333	0.001466667	0.001733333	0.004333333	0.000333333	0.003466667	0.035733333	0.0076	0.0254	0.033133333	0.028866667	0.020533333	0.0378	0.0036	0.011866667	0.008933333	0.017066667	0.0028	0.011533333	0.000866667	0.015333333	0.0112	0.0054	0.002533333	0.003133333	0.0034	0.0048	0.001133333	0.002266667	0.005133333	0.004666667	0.015266667	0.0014	0.001266667
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000266667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0.000266667
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__	f__	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0.000133333	6.67E-05	0	0	0	6.67E-05	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0	0	6.67E-05	0.000133333	0.000133333	0	6.67E-05	0	0.000133333	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	6.67E-05	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	0.000666667	0.000133333	0.0014	0.001	0.0028	0.004533333	0.0046	0.005933333	0.011266667	0.006466667	0.004	0.004866667	0.0086	0.004133333	0.004466667	0.010466667	0.004866667	0.006466667	0.007266667	0.012	0.005266667	0.0066	0.004533333	0.005466667	0.005466667	0.0088	0.018666667	0.003533333	0.009	0.0036	0.0054	0.009	0.009733333	0.003933333	0.004933333	0.001933333	0.0056	0.009133333	0.004
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	0.000933333	0	0	0.0002	0.000466667	0.000533333	0	0	6.67E-05	0	0	0	0	0	0	0.000933333	6.67E-05	0	0	0	0	0	0.000133333	6.67E-05	0.000666667	0.000466667	0	0	0.0008	0	6.67E-05	0	0	0.000133333	6.67E-05	0.000266667	0	0.0004	0.000866667
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	0.0016	6.67E-05	6.67E-05	0.0016	0.000333333	0.000466667	0.000266667	0.000133333	0.000133333	0.0002	0	0.000133333	0.0002	0	0.000266667	0.0002	0.000666667	0.000333333	0.003066667	0.000666667	0.000133333	0.000266667	0.001	0.000333333	0	0.000733333	0.000333333	0.000466667	0.000533333	0.000266667	0.0002	0.000333333	0.001	0.000533333	0.000333333	0.000466667	0.000466667	0.000866667	0.000466667
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	0.0002	0	0	0	0	0.000466667	0.0006	0.000133333	0.000533333	0	0	0	0	0	6.67E-05	0.0002	0.000333333	0	6.67E-05	0	0	0	0.000266667	0	6.67E-05	0	0	6.67E-05	6.67E-05	0	0.000133333	0	0	0.000133333	0	6.67E-05	0	6.67E-05	0.000466667
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	0.007133333	0.000933333	0.007066667	0.005333333	0.005133333	0.009	0.0164	0.003733333	0.006066667	0.0064	0.006533333	0.006266667	0.006933333	0.0032	0.010866667	0.011533333	0.0112	0.0058	0.0152	0.004866667	0.0116	0.008733333	0.002733333	0.004933333	0.0068	0.010733333	0.008666667	0.008333333	0.011333333	0.0086	0.012333333	0.007666667	0.01	0.0116	0.009666667	0.009533333	0.012	0.007466667	0.015133333
k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	0	0	0	0	0	0.0002	0.0002	6.67E-05	0	0	0	0	6.67E-05	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Succinivibrionaceae	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	0.0024	0.000533333	6.67E-05	0.000533333	0.028533333	0.000933333	0.000733333	0.177533333	0.087666667	0.116333333	0.0002	0.0006	0.0014	0.001	0.0002	0.000666667	0.000533333	0.0002	0.000733333	0.000666667	0.006	0.000266667	0.000133333	0.0192	0.010666667	0.030666667	0.094333333	0.037266667	0.022466667	0.0128	0.036733333	0.074933333	0.086666667	0.008133333	0.033266667	0.0696	0.036	0.076533333	0.013333333
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	6.67E-05	6.67E-05	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	0	0.0002	0	0	0.0002	0.000466667	0.003133333	0.0004	0.011666667	0.000533333	0.000133333	0.000266667	0.000333333	0.000133333	0.000333333	0.0008	0.0002	6.67E-05	0.000733333	0	0.001533333	0.000133333	6.67E-05	0.0002	0.000733333	0	0.0008	0.000666667	0	6.67E-05	0	6.67E-05	6.67E-05	0.000533333	6.67E-05	0.002133333	0	6.67E-05	0.000733333
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	0	0	6.67E-05	0	6.67E-05	6.67E-05	0	0	0	6.67E-05	0	0	6.67E-05	0	0	0	0	0.000133333	6.67E-05	0	0	0	6.67E-05	0	0	0	0	0	6.67E-05	0	0	6.67E-05	0	0	0	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	0	0	0	6.67E-05	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0	0	0
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	0	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0.000133333	0	6.67E-05	6.67E-05	0.000466667	0	0	6.67E-05	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	6.67E-05	0
k__Bacteria	p__Synergistetes	c__Synergistia	o__Synergistales	f__Dethiosulfovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0
k__Bacteria	p__Synergistetes	c__Synergistia	o__Synergistales	f__Synergistaceae	0.0002	0	6.67E-05	0.000133333	6.67E-05	0.000133333	0.0002	0	0	0	0	0	0	0	6.67E-05	0	0.000466667	0.000266667	0.000333333	6.67E-05	0.000266667	0	0.0002	0	0	0.0002	0	0	0.000266667	0.000133333	6.67E-05	6.67E-05	0.0002	0.000466667	0	0.000466667	0	0	0.000133333
k__Bacteria	p__TM7	c__TM7-3	o__	f__	6.67E-05	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Tenericutes	c__Mollicutes	o__RF39	f__	0.0012	0	0.000133333	0.0002	0.001466667	0.001	0.000333333	0.0028	0.001466667	0.0002	0.002	0.0002	0.001266667	0.002266667	0.000133333	0.000266667	0.0006	0.001933333	0.001	0.001133333	0.001133333	0.000133333	6.67E-05	0.0002	0.0004	0.000133333	0.0018	0	0.001466667	0.0008	0.0002	0.0006	6.67E-05	6.67E-05	0.0004	0.001533333	0.000666667	6.67E-05	0.0026
k__Bacteria	p__Tenericutes	c__RF3	o__ML615J-28	f__	0.000266667	0	0	0.0002	0.000666667	0.001266667	0.003133333	0.000133333	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	0.1554	0.012333333	0.037266667	0.069	0.025266667	0.022933333	0.054066667	0.004333333	0.0046	0.0044	0.002533333	0.0008	0.000266667	0.000666667	0.007533333	0.128733333	0.050733333	0.0426	0.043666667	0.054	0.083466667	0.010666667	0.09	0.003866667	0.0028	0.0138	0.006666667	0.097466667	0.107866667	0.216266667	0.046933333	0.005266667	0.034333333	0.120133333	0.0094	0.181733333	0.028933333	0.073066667	0.080666667
