#OTU ID					10283.LS.12.28.2011	10283.LS.4.3.2012	10283.LS.8.7.2012	10283.LS.11.6.2012	10283.LS.1.26.2013	10283.LS.2.8.2013	10283.LS.2.25.2013	10283.LS.3.24.2013	10283.LS.4.7.2013	10283.LS.4.29.2013	10283.LS.7.14.2013	10283.LS.9.3.2013	10283.LS.9.24.2013	10283.LS.11.10.2013	10283.LS.12.14.2013	10283.LS.1.19.2014	10283.LS.2.17.2014	10283.LS.3.23.2014	10283.LS.5.4.2014	10283.LS.6.16.2014	10283.LS.7.27.2014	10283.LS.8.22.2014	10283.LS.8.25.2014	10283.LS.9.28.2014	10283.LS.11.16.2014	10283.LS.12.7.2014	10283.LS.12.17.2014	10283.LS.1.6.2015	10283.LS.1.14.2015	10283.LS.1.25.2015	10283.LS.2.8.2015	10283.LS.2.23.2015	10283.LS.3.8.2015	10283.LS.3.24.2015	10283.LS.4.4.2015	10283.LS.4.19.2015	10283.LS.5.3.2015	10283.LS.5.31.2015	10283.LS.6.14.2015
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	0.005666667	0.005533333	0.0154	0.021266667	0.0612	0.039933333	0.0388	0.032466667	0.034533333	0.024066667	0.0608	0.032666667	0.041666667	0.043933333	0.099933333	0.123266667	0.072866667	0.080466667	0.0786	0.092266667	0.047333333	0.030333333	0.0368	0.0208	0.022866667	0.036	0.0374	0.044733333	0.037333333	0.025133333	0.0292	0.0278	0.019866667	0.027466667	0.022666667	0.031333333	0.012333333	0.0176	0.015466667
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	0.000266667	6.67E-05	0.000133333	0.000333333	0.0004	6.67E-05	0.034666667	0.038333333	0.095666667	0.040266667	0.0268	0.047666667	0.046666667	0.0976	0.0068	0.005866667	0.005	0.016266667	0.014733333	0.0608	0.041	0.0196	0.011733333	0.073933333	0.136866667	0.0174	0.090733333	0.036133333	0.020133333	0.011	0.019933333	0.027933333	0.014066667	0.0402	0.0176	0.0112	0.0158	0.012933333	0.026
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	0.028733333	0.008066667	0.019133333	0.042	0.068866667	0.059133333	0.063133333	0.019733333	0.0284	0.025866667	0.0496	0.024066667	0.047733333	0.0508	0.073533333	0.091066667	0.088733333	0.0466	0.100133333	0.103733333	0.08	0.033066667	0.078066667	0.032266667	0.0212	0.031933333	0.027666667	0.072866667	0.082133333	0.0664	0.0566	0.0266	0.0444	0.051	0.019933333	0.048066667	0.0292	0.034466667	0.028666667
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	0	0.0006	0.000533333	0.000333333	0.000733333	0.0004	0.000133333	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Barnesiellaceae]	0.0016	0.001066667	0.002133333	0.002466667	0.0048	0.009066667	0.0068	0.0012	0.001933333	0.0028	0.002933333	0.000933333	0.001733333	0.002066667	0.0036	0.006333333	0.014133333	0.005066667	0.010266667	0.0066	0.012733333	0.003733333	0.009266667	0.0034	0.001133333	0.006533333	0.003	0.015933333	0.0144	0.0154	0.009733333	0.0054	0.0104	0.009733333	0.005866667	0.009266667	0.006266667	0.010333333	0.009066667
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Odoribacteraceae]	0.0014	0.0006	0.000333333	0.001466667	0.006066667	0.0096	0.0064	0.005266667	0.004	0.005733333	0.004733333	0.0036	0.006066667	0.007466667	0.008066667	0.014066667	0.009266667	0.0104	0.005533333	0.0116	0.006266667	0.006933333	0.0058	0.006866667	0.001266667	0.008066667	0.0046	0.006533333	0.005866667	0.003266667	0.006066667	0.0048	0.005933333	0.005	0.004133333	0.003466667	0.003733333	0.007533333	0.0036
k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	0.001466667	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	6.67E-05	0	6.67E-05	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0	0	0
k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0
k__Bacteria	p__Bacteroidetes	c__[Saprospirae]	o__[Saprospirales]	f__Chitinophagaceae	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	p__Chlorobi	c__Ignavibacteria	o__Ignavibacteriales	f__Ignavibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
