sample.id,sample.date,day,o__Methanobacteriales,o__Actinomycetales,o__Bifidobacteriales,o__Coriobacteriales,o__Bacteroidales,o__Flavobacteriales,o__[Saprospirales],o__Ignavibacteriales,o__YS2,o__Chlorophyta,o__Streptophyta,o__Bacillales,o__Gemellales,o__Lactobacillales,o__Turicibacterales,o__Clostridiales,o__SHA-98,o__Erysipelotrichales,o__Fusobacteriales,o__Victivallales,o__RF32,o__Rhizobiales,o__Rickettsiales,o__Sphingomonadales,o__,o__Burkholderiales,o__Neisseriales,o__Rhodocyclales,o__Desulfovibrionales,o__Myxococcales,o__Campylobacterales,o__Aeromonadales,o__Cardiobacteriales,o__Enterobacteriales,o__Legionellales,o__Pasteurellales,o__Pseudomonadales,o__Xanthomonadales,o__Synergistales,o__,o__RF39,o__ML615J-28,o__Verrucomicrobiales
X10283.LS.7.14.2013,2013-07-14,10,0.000466667,2e-04,0.001933333,0.0036,0.3682,0,0,0,6.67e-05,0,0,6.67e-05,0.000266667,0.000666667,0,0.592733333,0,0.012466667,4e-04,6.67e-05,0.003466667,0,0,0,0,0.004,0,0,0.006533333,0,0,0,0,2e-04,0,0.000133333,0,0,0,0,0.002,0,0.002533333
X10283.LS.9.3.2013,2013-09-03,11,0.003066667,0.000266667,0.0058,0.0028,0.229066667,0,0,0,0,0,6.67e-05,0,0.000133333,0.000333333,6.67e-05,0.694266667,0,0.014666667,0.000333333,0.000133333,0.035733333,0,0,0,0.000133333,0.005,0,0,0.006266667,0,0,0,0,6e-04,0,0.000266667,0,0,0,0,2e-04,0,8e-04
X10283.LS.9.24.2013,2013-09-24,12,0.003466667,0,0.0092,0.005266667,0.217933333,0,0,0,6.67e-05,0,0,0,0.000133333,0.0016,0,0.7084,0,0.026466667,0.000266667,0.000133333,0.0076,0,0,0,0.000133333,0.0088,0,0,0.006933333,0,6.67e-05,6.67e-05,0,0.0014,0,0.000333333,6.67e-05,0.000133333,0,0,0.001266667,0,0.000266667
X10283.LS.11.10.2013,2013-11-10,13,0.001133333,2e-04,0.0038,0.0014,0.361866667,0,0,0,6.67e-05,0,0.000533333,0,0,0.003933333,0,0.578333333,0,0.011466667,2e-04,0.000133333,0.0254,0,0,0,6.67e-05,0.0042,0,0,0.0032,0,0,0,0,0.001,0,0.000133333,0,0,0,0,0.002266667,0,0.000666667
X10283.LS.12.14.2013,2013-12-14,14,0.002533333,6.67e-05,0.013466667,0.001933333,0.4014,0,0,0,0,0,0,0,0,0.000133333,0,0.5104,0,0.0122,0.000333333,0.000333333,0.033133333,0,0,0,0,0.0048,6.67e-05,0,0.010866667,0,0,0,0,2e-04,0,0.000333333,0,6.67e-05,6.67e-05,0,0.000133333,0,0.007533333
X10283.LS.1.19.2014,2014-01-19,15,0.003333333,2e-04,0.001866667,0.0042,0.419733333,0,0,0,0,0,0,0,0.000466667,0.000666667,0,0.366333333,0,0.015933333,0.0038,0.000666667,0.028866667,0,0,0,0,0.0116,2e-04,0,0.011533333,0,6.67e-05,0,0,0.000666667,0,8e-04,0,6.67e-05,0,0,0.000266667,0,0.128733333
X10283.LS.2.17.2014,2014-02-17,16,0.002333333,2e-04,0,0.0036,0.453266667,6.67e-05,0,0,0,0,0,6.67e-05,4e-04,0.000133333,0,0.424533333,0.000333333,0.015133333,0.008733333,2e-04,0.020533333,0.000266667,0,0,0,0.0056,0.000333333,0,0.0112,0,6.67e-05,0,0,0.000533333,0,2e-04,0,0.000466667,0.000466667,0,6e-04,0,0.050733333
X10283.LS.3.23.2014,2014-03-23,17,0.0014,6.67e-05,0.000133333,0.001666667,0.371333333,0,0,0,6.67e-05,0,0,0,0,0.000333333,0,0.509866667,0,0.019,0.000133333,0.000266667,0.0378,0,0,0,6.67e-05,0.006866667,0,0,0.0058,0,0,0,0,2e-04,0,6.67e-05,0.000133333,0,0.000266667,0,0.001933333,0,0.0426
X10283.LS.5.4.2014,2014-05-04,18,0.005933333,0.000533333,0.000666667,0.003466667,0.360866667,0,0,0.000333333,0,0,6.67e-05,0,0.000466667,0.001066667,0,0.525666667,6.67e-05,0.022133333,0.002866667,0,0.0036,0,0,0,0,0.010466667,6.67e-05,0,0.0152,0,0,0,0,0.000733333,0,0.000733333,6.67e-05,0,0.000333333,0,0.001,0,0.043666667
X10283.LS.6.16.2014,2014-06-16,19,0.001266667,0,0.000133333,0.001266667,0.4516,0,0,0,0.004266667,0,0,0,0,2e-04,6.67e-05,0.448266667,6.67e-05,0.007,2e-04,6.67e-05,0.011866667,0,0,0,6.67e-05,0.0128,0,0,0.004866667,0,0,6.67e-05,0,0.000666667,0,0,0,6.67e-05,6.67e-05,0,0.001133333,0,0.054
X10283.LS.7.27.2014,2014-07-27,20,0.002333333,0.000333333,0,0.002066667,0.370533333,0,0,0,0.008533333,0,0,6.67e-05,4e-04,0.000666667,0,0.485933333,0,0.009333333,0.001466667,0,0.008933333,0,0,0,0,0.0054,0,0,0.0116,0,0,0,0,0.006,0,0.001533333,0,0,0.000266667,0,0.001133333,0,0.083466667
X10283.LS.8.22.2014,2014-08-22,21,0.002866667,0.000266667,0.000666667,0.008333333,0.190133333,0,0,0,0.002866667,0,0,0,0.000133333,0.001066667,0,0.7352,6.67e-05,0.014133333,6.67e-05,0.000133333,0.017066667,0,0,0,0,0.006933333,0,0,0.008733333,6.67e-05,0,0,0,0.000266667,0,0.000133333,0,6.67e-05,0,0,0.000133333,0,0.010666667
X10283.LS.8.25.2014,2014-08-25,22,0.005666667,8e-04,0.000533333,0.0146,0.352133333,4e-04,0,0,0.000266667,0,0,0,0.000133333,0.000733333,0,0.510733333,0.000133333,0.011266667,0.000533333,6.67e-05,0.0028,0,0,0,0,0.005666667,0.000266667,0,0.002733333,0,0,0,0,0.000133333,0,6.67e-05,6.67e-05,0,2e-04,0,6.67e-05,0,0.09
X10283.LS.9.28.2014,2014-09-28,23,0.001266667,2e-04,6.67e-05,0.002266667,0.3264,0,0,0,0.0072,0,0,6.67e-05,0,0.001066667,0,0.606333333,6.67e-05,0.008933333,0.000133333,6.67e-05,0.011533333,0,0,0,0,0.006,0,0,0.004933333,0,0,0,0,0.0192,0,2e-04,0,0,0,0,2e-04,0,0.003866667
X10283.LS.11.16.2014,2014-11-16,24,0.0016,2e-04,4e-04,0.0026,0.3224,0,0,0,0.001933333,0,0,6.67e-05,2e-04,0.001,0,0.629066667,0,0.0094,0.0026,0,0.000866667,0,0,0,0,0.0062,6.67e-05,0,0.0068,0,0,0,0,0.010666667,0,0.000733333,0,0,0,0,4e-04,0,0.0028
