sample.id,sample.date,day,c__Methanobacteria,c__Actinobacteria,c__Coriobacteriia,c__Bacteroidia,c__Flavobacteriia,c__[Saprospirae],c__Ignavibacteria,c__4C0d-2,c__Chloroplast,c__Bacilli,c__Clostridia,c__Erysipelotrichi,c__Fusobacteriia,c__[Lentisphaeria],c__Alphaproteobacteria,c__Betaproteobacteria,c__Deltaproteobacteria,c__Epsilonproteobacteria,c__Gammaproteobacteria,c__Synergistia,c__TM7-3,c__Mollicutes,c__RF3,c__Verrucomicrobiae
X10283.LS.8.22.2014,2014-08-22,21,0.002866667,0.000933333,0.008333333,0.190133333,0,0,0,0.002866667,0,0.0012,0.735266667,0.014133333,6.67e-05,0.000133333,0.017066667,0.006933333,0.0088,0,0.000466667,0,0,0.000133333,0,0.010666667
X10283.LS.8.25.2014,2014-08-25,22,0.005666667,0.001333333,0.0146,0.352133333,4e-04,0,0,0.000266667,0,0.000866667,0.510866667,0.011266667,0.000533333,6.67e-05,0.0028,0.005933333,0.002733333,0,0.000266667,2e-04,0,6.67e-05,0,0.09
X10283.LS.9.28.2014,2014-09-28,23,0.001266667,0.000266667,0.002266667,0.3264,0,0,0,0.0072,0,0.001133333,0.6064,0.008933333,0.000133333,6.67e-05,0.011533333,0.006,0.004933333,0,0.0194,0,0,2e-04,0,0.003866667
X10283.LS.11.16.2014,2014-11-16,24,0.0016,6e-04,0.0026,0.3224,0,0,0,0.001933333,0,0.001266667,0.629066667,0.0094,0.0026,0,0.000866667,0.006266667,0.0068,0,0.0114,0,0,4e-04,0,0.0028
X10283.LS.12.7.2014,2014-12-07,25,0.002533333,2e-04,0.006066667,0.258733333,0,0,0,0.006733333,6.67e-05,0.000266667,0.618,0.0262,2e-04,6.67e-05,0.015333333,0.010066667,0.010733333,0,0.030666667,2e-04,0,0.000133333,0,0.0138
X10283.LS.12.17.2014,2014-12-17,26,0.000933333,0.000533333,0.001266667,0.410333333,0,0,0,0.0038,4e-04,0.005666667,0.430666667,0.002866667,0.000933333,6.67e-05,0.0112,0.019,0.008666667,0,0.0952,0,0,0.0018,0,0.006666667
X10283.LS.1.6.2015,2015-01-06,27,0.002266667,8e-04,0.001866667,0.447866667,0,0,0,4e-04,6.67e-05,0.001866667,0.381133333,0.007,0.003133333,0,0.0054,0.004066667,0.008333333,0,0.038333333,0,0,0,0,0.097466667
X10283.LS.1.14.2015,2015-01-14,28,0.0032,0.001466667,0.002333333,0.314333333,0,0,0,0.0026,0,0.000866667,0.51,0.0082,0.000333333,0,0.002733333,0.0104,0.011333333,0,0.0226,0.000266667,0,0.001466667,0,0.107866667
X10283.LS.1.25.2015,2015-01-25,29,0.0034,4e-04,0.003066667,0.2452,0,0,0,0.002466667,6.67e-05,0.000266667,0.491133333,0.0074,0.000866667,6.67e-05,0.003133333,0.003866667,0.0086,0,0.012866667,0.000133333,0,8e-04,0,0.216266667
X10283.LS.2.8.2015,2015-02-08,30,0.002,6e-04,0.002733333,0.261266667,0,0,0,0.000866667,0,0.002333333,0.620066667,0.004266667,0.000266667,0,0.0034,0.0058,0.012333333,0,0.036866667,6.67e-05,0,2e-04,0,0.046933333
X10283.LS.2.23.2015,2015-02-23,31,0.002666667,0.000133333,0.0044,0.1962,0,0,0,0.001533333,0,0.000466667,0.677133333,0.014666667,0,0,0.0048,0.009333333,0.007666667,0,0.075066667,6.67e-05,0,6e-04,0,0.005266667
X10283.LS.3.8.2015,2015-03-08,32,0.005933333,0.002666667,0.006266667,0.2892,0,0,0,0.000133333,0.000133333,0.001133333,0.5266,0.024666667,0,0,0.001133333,0.0108,0.01,0,0.086733333,2e-04,0,6.67e-05,0,0.034333333
X10283.LS.3.24.2015,2015-03-24,33,0.0064,6e-04,0.004,0.2586,6.67e-05,0,0,8e-04,6.67e-05,8e-04,0.5648,0.012733333,0.003,6.67e-05,0.002266667,0.004733333,0.0116,6.67e-05,0.008733333,0.000466667,0,6.67e-05,0,0.120133333
X10283.LS.4.4.2015,2015-04-04,34,0.004066667,0.000466667,0.007733333,0.145866667,0,0,0,0.001,6.67e-05,6e-04,0.754666667,0.022,0,0.000133333,0.005133333,0.0054,0.009666667,0,0.0334,0,0,4e-04,0,0.0094
X10283.LS.4.19.2015,2015-04-19,35,0.002666667,0.000866667,0.002266667,0.231133333,0,0,0,0.000866667,0,0.001,0.469133333,0.006933333,0.012666667,6.67e-05,0.004666667,0.002733333,0.009533333,0,0.071733333,0.000466667,0,0.001533333,0,0.181733333
X10283.LS.5.3.2015,2015-05-03,36,0.002066667,0.000333333,0.009666667,0.189133333,0,0,0,0.001066667,0,8e-04,0.673666667,0.021733333,0.0012,6.67e-05,0.016466667,0.006066667,0.012,0,0.036066667,6.67e-05,0,0.000666667,0,0.028933333
X10283.LS.5.31.2015,2015-05-31,37,0.0018,0.000333333,0.001933333,0.237266667,0,0,0,2e-04,0.000133333,0.000533333,0.581866667,0.006266667,4e-04,0,0.001466667,0.010466667,0.007466667,0,0.076733333,0,0,6.67e-05,0,0.073066667
X10283.LS.6.14.2015,2015-06-14,38,0.005333333,0.004466667,0.0076,0.243866667,0,0,0,2e-04,0.001266667,0.002933333,0.590066667,0.021466667,0.0028,6.67e-05,0.001533333,0.0058,0.015133333,0,0.014066667,0.000133333,0,0.0026,0,0.080666667
