	10283.LS.12.28.2011	10283.LS.5.31.2015	10283.LS.2.8.2015	10283.LS.1.19.2014	10283.LS.1.14.2015	10283.LS.3.24.2013	10283.LS.11.6.2012	10283.LS.12.14.2013	10283.LS.1.6.2015	10283.LS.2.23.2015	10283.LS.11.16.2014	10283.LS.6.14.2015	10283.LS.8.22.2014	10283.LS.3.23.2014	10283.LS.2.25.2013	10283.LS.5.3.2015	10283.LS.8.25.2014	10283.LS.11.10.2013	10283.LS.9.3.2013	10283.LS.4.19.2015	10283.LS.1.25.2015	10283.LS.9.28.2014	10283.LS.4.4.2015	10283.LS.12.7.2014	10283.LS.4.29.2013	10283.LS.2.8.2013	10283.LS.5.4.2014	10283.LS.7.27.2014	10283.LS.3.24.2015	10283.LS.1.26.2013	10283.LS.9.24.2013	10283.LS.7.14.2013	10283.LS.2.17.2014	10283.LS.3.8.2015	10283.LS.6.16.2014	10283.LS.4.7.2013	10283.LS.12.17.2014	10283.LS.4.3.2012	10283.LS.8.7.2012
10283.LS.11.16.2014	0.469559142594	0.352118490545	0.355098828025	0.407851413495	0.375313083393	0.401168897806	0.437091367863	0.380055004165	0.375042578879	0.378805102097	0.0	0.400175098726	0.37462081076	0.37794002992	0.420615164169	0.372842519862	0.370498111877	0.389361823175	0.419552122261	0.364841203325	0.376653741052	0.337252688959	0.365518594569	0.354728212869	0.396667468139	0.414966524746	0.403438874696	0.36908283225	0.401378278966	0.434572776818	0.442074077279	0.393099751482	0.413857512654	0.372882275266	0.392966357773	0.403022896601	0.380370799541	0.459330087861	0.422579734584
10283.LS.6.14.2015	0.446194586927	0.342453861187	0.357468226351	0.411006799509	0.390497078193	0.417163389854	0.403914987679	0.39279409921	0.363459524788	0.361793026339	0.400175098726	0.0	0.374992817783	0.366422524519	0.391454175489	0.341047604877	0.361878711772	0.418256987809	0.41421353031	0.323737141777	0.351763568726	0.378867621934	0.34623135556	0.352916939349	0.412725626699	0.418112786915	0.373688449748	0.357540607715	0.313510970261	0.418269603255	0.443105072989	0.441154157457	0.362492276321	0.355754289806	0.397585604641	0.410965269628	0.394979433603	0.467408340488	0.4434010021
10283.LS.8.22.2014	0.455291975765	0.3864832324	0.366447969974	0.391409361285	0.389578796182	0.407245784277	0.411371766636	0.377232078912	0.378266509489	0.359689656602	0.37462081076	0.374992817783	0.0	0.357639200976	0.403138688438	0.364407461412	0.338944529444	0.420636824584	0.396709994476	0.377893043764	0.358137629543	0.34321084525	0.361484583389	0.34950176181	0.3749919112	0.414783439559	0.365184776983	0.355219647009	0.35308234934	0.414495080132	0.426364777818	0.410789672823	0.384639419435	0.360344859564	0.372655279316	0.419595060439	0.383978923712	0.458181559702	0.435231861132
10283.LS.3.23.2014	0.473233358646	0.384397764235	0.358220724936	0.404994684754	0.371477572712	0.405165617056	0.407609334949	0.346786788578	0.379979461104	0.352429633694	0.37794002992	0.366422524519	0.357639200976	0.0	0.400318071749	0.383136752685	0.366393567046	0.397083565419	0.379392226888	0.355966453356	0.349380238402	0.346559602103	0.382405583913	0.357226643248	0.415145304968	0.397145550516	0.357274686672	0.353024072163	0.388720257027	0.394897712188	0.41343985906	0.408211206481	0.378140891693	0.382804637794	0.344073078845	0.424420085834	0.387760093325	0.477848261326	0.428553300323
10283.LS.2.25.2013	0.433184228919	0.402573878409	0.413293683468	0.385257163872	0.413301210503	0.35748722303	0.374287215155	0.380750390416	0.393787342321	0.405642775436	0.420615164169	0.391454175489	0.403138688438	0.400318071749	0.0	0.403181538784	0.377960221506	0.442759203028	0.418151994794	0.386750298426	0.402408054311	0.411284154727	0.412853818232	0.400161673916	0.354605135174	0.327924967918	0.36087202281	0.373156522062	0.377182388643	0.369852965436	0.422590098275	0.399062328395	0.390750188099	0.399459555861	0.41395187496	0.365789460729	0.444007559869	0.443660936348	0.401783124301
10283.LS.5.3.2015	0.473991563347	0.364850902226	0.36120810172	0.404361800221	0.386067575194	0.406556240571	0.402106357771	0.395720410652	0.369232103687	0.344959460134	0.372842519862	0.341047604877	0.364407461412	0.383136752685	0.403181538784	0.0	0.373973963169	0.440370186155	0.411205236029	0.367735384193	0.374584815535	0.362705444838	0.34899797081	0.352410514862	0.386648131868	0.404219142866	0.398384180655	0.372077158163	0.345185475762	0.402788244916	0.448326691223	0.405754837644	0.403678268175	0.35166242287	0.394623874437	0.404430672689	0.400753339511	0.468399003925	0.407007344228
10283.LS.8.25.2014	0.446408066965	0.37701949371	0.373601587982	0.38471878288	0.361074881352	0.42005668548	0.391349403669	0.339903852886	0.369885740051	0.366820556106	0.370498111877	0.361878711772	0.338944529444	0.366393567046	0.377960221506	0.373973963169	0.0	0.413790652386	0.4046342569	0.341546403432	0.343589017261	0.358227427802	0.373261783477	0.319109262241	0.4153038852	0.381315246847	0.343458323079	0.32015603709	0.320838428038	0.392449487173	0.413884966194	0.410222620961	0.348974894885	0.358799609045	0.380288675109	0.43319350427	0.412167085452	0.465138811325	0.430454334005
10283.LS.11.10.2013	0.502774565688	0.42884334796	0.4063752523	0.405559659837	0.427696723811	0.40861257542	0.426595258719	0.379833157132	0.414713912703	0.414002668637	0.389361823175	0.418256987809	0.420636824584	0.397083565419	0.442759203028	0.440370186155	0.413790652386	0.0	0.334885554811	0.40198914101	0.409309201145	0.380350416467	0.39993250071	0.407572252175	0.421208375724	0.438030347868	0.42338229671	0.430543879225	0.439114729094	0.407633453386	0.373321071954	0.374734502541	0.452829149645	0.410232311623	0.41169732696	0.408708780203	0.382451268322	0.468960767862	0.459119569464
10283.LS.9.3.2013	0.488734839781	0.404580912315	0.408383570773	0.404491339098	0.43157509616	0.40904641028	0.404267854005	0.361679076639	0.387060253569	0.402569512634	0.419552122261	0.41421353031	0.396709994476	0.379392226888	0.418151994794	0.411205236029	0.4046342569	0.334885554811	0.0	0.408820621497	0.398111708459	0.382263767396	0.378245386282	0.397186464657	0.386620198605	0.413763270419	0.394676699409	0.395908934375	0.424555655064	0.411655874731	0.361620756624	0.377635636216	0.438756129887	0.400420391658	0.405898350206	0.387513247045	0.400981265347	0.448072545826	0.430382278895
10283.LS.4.19.2015	0.44555405603	0.357047025069	0.346428378814	0.381429865537	0.353116535012	0.42693467207	0.416101011051	0.362705712682	0.340978754303	0.343142453471	0.364841203325	0.323737141777	0.377893043764	0.355966453356	0.386750298426	0.367735384193	0.341546403432	0.40198914101	0.408820621497	0.0	0.321025918637	0.371891498603	0.361883529792	0.348598562322	0.41625426075	0.40608993285	0.330495504702	0.327817402378	0.326748728757	0.415620944073	0.426554559055	0.425590211907	0.338550357341	0.351971228435	0.379876552922	0.421374592029	0.383927869084	0.495396135147	0.447230047764
