	10283.LS.12.28.2011	10283.LS.5.31.2015	10283.LS.2.8.2015	10283.LS.1.19.2014	10283.LS.1.14.2015	10283.LS.3.24.2013	10283.LS.11.6.2012	10283.LS.12.14.2013	10283.LS.1.6.2015	10283.LS.2.23.2015	10283.LS.11.16.2014	10283.LS.6.14.2015	10283.LS.8.22.2014	10283.LS.3.23.2014	10283.LS.2.25.2013	10283.LS.5.3.2015	10283.LS.8.25.2014	10283.LS.11.10.2013	10283.LS.9.3.2013	10283.LS.4.19.2015	10283.LS.1.25.2015	10283.LS.9.28.2014	10283.LS.4.4.2015	10283.LS.12.7.2014	10283.LS.4.29.2013	10283.LS.2.8.2013	10283.LS.5.4.2014	10283.LS.7.27.2014	10283.LS.3.24.2015	10283.LS.1.26.2013	10283.LS.9.24.2013	10283.LS.7.14.2013	10283.LS.2.17.2014	10283.LS.3.8.2015	10283.LS.6.16.2014	10283.LS.4.7.2013	10283.LS.12.17.2014	10283.LS.4.3.2012	10283.LS.8.7.2012
10283.LS.12.28.2011	0.0	0.438231192667	0.451458890667	0.526329354667	0.449351602	0.634667926667	0.3094026	0.579197457333	0.589772517333	0.472523093333	0.563744712667	0.400773514667	0.469530206	0.547893365333	0.499580801333	0.440810910667	0.483670500667	0.584184216	0.534729752	0.399724298	0.404482190667	0.55999361	0.457927569333	0.505026317333	0.575426135333	0.561530420667	0.496044972667	0.512554391333	0.387376159333	0.596535456	0.511181884667	0.568129021333	0.58089914	0.504067189333	0.586960653333	0.642003613333	0.664362631333	0.369073494	0.403379466667
10283.LS.5.31.2015	0.438231192667	0.0	0.123744919333	0.330804532667	0.189334026667	0.285349367333	0.259194551333	0.273983768667	0.296819796667	0.179402023333	0.255156926667	0.135566611333	0.260832673333	0.225244534	0.228430958	0.186426300667	0.196770772	0.283958240667	0.274909058	0.180625649333	0.215939402	0.229818993333	0.283030711333	0.181779119333	0.235300033333	0.275925902667	0.227977330667	0.208062682667	0.147072174667	0.304809672667	0.293077509333	0.272226936667	0.314479919333	0.155758486	0.300421244667	0.302917356667	0.303739516	0.499481749333	0.283136559333
10283.LS.2.8.2015	0.451458890667	0.123744919333	0.0	0.32181446	0.155352098	0.292133698667	0.241610273333	0.244842624	0.290745588	0.170422190667	0.221052100667	0.153544149333	0.223318536667	0.206710609333	0.194185773333	0.160366933333	0.209226594	0.256184404	0.235794645333	0.208646039333	0.201925856	0.203598482	0.250824837333	0.158407096	0.241842118	0.255162624667	0.186557474	0.208878012667	0.143860568667	0.275223505333	0.244570391333	0.237179421333	0.291600898667	0.18118306	0.261470677333	0.305826561333	0.304158480667	0.474974563333	0.267147108
10283.LS.1.19.2014	0.526329354667	0.330804532667	0.32181446	0.0	0.208196727333	0.379629334667	0.428370956	0.210710956	0.180051682667	0.430701956	0.380743807333	0.309474217333	0.424875834	0.222680633333	0.251353856	0.390613274667	0.223022903333	0.327988566667	0.417630277333	0.285860040667	0.272626306667	0.349181943333	0.494686764	0.352911112	0.36822121	0.271847214	0.202694752667	0.197653211333	0.259482847333	0.250573673333	0.443546144667	0.311419926667	0.1698781	0.346380892	0.188784049333	0.338198522667	0.315613935333	0.657514007333	0.437104133333
10283.LS.1.14.2015	0.449351602	0.189334026667	0.155352098	0.208196727333	0.0	0.305716360667	0.31090295	0.231499392667	0.204932748667	0.288032712667	0.267747434667	0.188274448667	0.318703226667	0.205342958	0.179040620667	0.276294339333	0.15621756	0.285797503333	0.325763538	0.1743695	0.158372196667	0.244458776	0.361315914	0.250155978	0.273372981333	0.259100928	0.151863917333	0.147499584	0.141482485333	0.254087500667	0.329812009333	0.27354695	0.235739720667	0.232401632667	0.206786104667	0.312247984667	0.300899824	0.561151789333	0.35140587
10283.LS.3.24.2013	0.634667926667	0.285349367333	0.292133698667	0.379629334667	0.305716360667	0.0	0.453454257333	0.253109338667	0.303592946667	0.314063393333	0.255896318	0.331917041333	0.384113836667	0.246866490667	0.248081568	0.353839406667	0.269954268667	0.241990973333	0.355003085333	0.377708562	0.412256988	0.221198431333	0.414304136	0.297906376	0.10703869	0.233005652667	0.318397072667	0.250138607333	0.337340806	0.234058318667	0.38733633	0.226301250667	0.339298708	0.24631352	0.310958828	0.133458517333	0.188567342	0.608163158	0.424494418667
10283.LS.11.6.2012	0.3094026	0.259194551333	0.241610273333	0.428370956	0.31090295	0.453454257333	0.0	0.391511702667	0.452619818667	0.249203502667	0.349929119333	0.24624508	0.236939516667	0.366768985333	0.321394013333	0.220649992	0.324200266	0.379887706667	0.297441344	0.336379031333	0.312074622667	0.35226635	0.259139714667	0.296892222667	0.385313484667	0.378103224667	0.332231287333	0.344219106	0.264662606	0.410778510667	0.275498222	0.364991726667	0.436477517333	0.331806141333	0.415898485333	0.470185352	0.490256406	0.298415362	0.171149713333
10283.LS.12.14.2013	0.579197457333	0.273983768667	0.244842624	0.210710956	0.231499392667	0.253109338667	0.391511702667	0.0	0.241146849333	0.315873477333	0.252761916667	0.282845352	0.316092956667	0.107613841333	0.181505665333	0.309040638667	0.164973963333	0.176236622667	0.295417109333	0.361941467333	0.337684241333	0.205182866	0.382989161333	0.243189490667	0.227889964667	0.14317959	0.185680806	0.154364687333	0.275962904667	0.169105762667	0.325557932667	0.159208862667	0.192540994667	0.243353049333	0.195869557333	0.220024304	0.233878187333	0.570724387333	0.379218758667
10283.LS.1.6.2015	0.589772517333	0.296819796667	0.290745588	0.180051682667	0.204932748667	0.303592946667	0.452619818667	0.241146849333	0.0	0.411536562667	0.337131563333	0.287050041333	0.454289287333	0.236191694667	0.220145092	0.394738830667	0.203572832667	0.311687696	0.448537873333	0.290474822	0.301623005333	0.298408239333	0.492379756	0.351482302667	0.304020328667	0.22856565	0.232595238	0.165542824667	0.271929534	0.161613616	0.461410192667	0.282688066667	0.140308772	0.317253445333	0.169750621333	0.254759584	0.215653676667	0.692678704667	0.461228424
10283.LS.2.23.2015	0.472523093333	0.179402023333	0.170422190667	0.430701956	0.288032712667	0.314063393333	0.249203502667	0.315873477333	0.411536562667	0.0	0.222217538	0.223404021333	0.119223903333	0.293969368	0.324838997333	0.104627430667	0.309663064667	0.280708537333	0.182710497333	0.274222814	0.316119222667	0.206946238	0.137507282667	0.156034350667	0.24863387	0.337822338	0.317121231333	0.315595544667	0.245876534	0.367897526667	0.178882347333	0.259954108	0.420776041333	0.211086245333	0.368352097333	0.329997233333	0.333931874	0.394717818	0.230216033333
10283.LS.11.16.2014	0.563744712667	0.255156926667	0.221052100667	0.380743807333	0.267747434667	0.255896318	0.349929119333	0.252761916667	0.337131563333	0.222217538	0.0	0.24870779	0.244877442667	0.229613120667	0.238470244667	0.245614638	0.244709458667	0.136664096667	0.219732763333	0.377358189333	0.358075984667	0.088285788	0.290939463333	0.190153882	0.197527168	0.246375952	0.271014608	0.242024373333	0.258919117333	0.301124066	0.2486711	0.170692951333	0.342137811333	0.239849316667	0.280740338	0.232030452667	0.259781356	0.503769657333	0.317994135333
10283.LS.6.14.2015	0.400773514667	0.135566611333	0.153544149333	0.309474217333	0.188274448667	0.331917041333	0.24624508	0.282845352	0.287050041333	0.223404021333	0.24870779	0.0	0.249989906	0.239780558667	0.213654577333	0.192231382667	0.186445022	0.278179092	0.273580624	0.221225671333	0.217694229333	0.228051043333	0.280572193333	0.185936012	0.271677295333	0.277815076667	0.20930755	0.187835151333	0.116684686	0.308553478667	0.285811652667	0.259116098667	0.303411081333	0.201838138667	0.303506294667	0.34461708	0.339779572667	0.476271891333	0.243737252
